
[Major Classification],[Minor Classification],[Reason for Classification]
감성 소구,긍정적,광고의 감성적 요소가 마음에 든다는 평가
감성 소구,부정적,감성적 요소가 부족하거나 어울리지 않는다는 평가
감성 소구,따뜻함,따뜻하고 포근한 감성을 전달함
감성 소구,고급스러움,고급스럽고 세련된 이미지를 전달함
감성 소구,긍정적,따뜻하고 편안한 느낌을 줌 공감이 됨
감성 소구,부정적,감정적 연결이 부족함 공감이 되지 않음
광고 구성,긍정적 평가,광고 구성이 좋다 전개가 자연스럽다 등의 표현
광고 구성,부정적 평가,광고 구성이 어색하다 전개가 부자연스럽다 등의 표현
광고 임팩트,강한 임팩트,인상적이다 기억에 남는다 등의 표현
광고 임팩트,약한 임팩트,평범하다 특별한 점이 없다 등의 표현
광고 전반,신선함,기존 광고와 다른 새로운 느낌을 줌
광고 전반,평범함,다른 아웃도어 광고와 큰 차이가 없음
광고 전반,몰입도,광고에 집중되고 끝까지 보게 됨
광고 전반,기억에 남지 않음,특별히 인상적이거나 기억에 남는 점이 없음
구매 의도,긍정적,광고를 보고 제품을 구매하고 싶다는 의견
구매 의도,부정적,광고를 봐도 구매 의사가 생기지 않는다는 의견
기능성 강조,긍정적 평가,제품의 기능성이 잘 표현되었다는 평가
기능성 강조,부정적 평가,기능성 표현이 부족하거나 과장되었다는 평가
기능성 강조,보온성,추위를 잘 막아줄 것 같은 느낌을 줌
기능성 강조,기술력,첨단 기술이 적용된 제품으로 느껴짐
기억력,높음,인상 깊고 기억에 남는다는 평가
기억력,낮음,별로 기억에 남지 않는다는 평가
독창성,높음,새롭고 참신한 광고라는 평가
독창성,낮음,식상하고 평범한 광고라는 평가
메시지/카피,이해도 높음,광고 메시지가 명확하고 이해하기 쉽다는 평가
메시지/카피,이해도 낮음,광고 내용이 이해하기 어렵다는 평가
메시지/카피,공감도 높음,광고 메시지에 공감한다는 평가
메시지/카피,공감도 낮음,광고 메시지에 공감하지 못한다는 평가
메시지/카피,독창성,카피가 독특하고 인상적임
메시지/카피,공감도,광고 메시지에 공감이 됨
메시지/카피,긍정적 평가,제품의 특징을 잘 전달함 기억에 남는 문구
메시지/카피,부정적 평가,이해하기 어려움 특별한 점이 없음
모델,호감도 높음,모델이 마음에 든다 예쁘다 잘 어울린다 등의 긍정적 평가
모델,호감도 낮음,모델이 광고나 브랜드와 어울리지 않음
모델,인지도,유명 모델이라 기억에 남음
모델,긍정적 평가,모델이 광고와 잘 어울림 호감도 높음 신선하고 젊은 이미지
모델,부정적 평가,모델이 제품과 어울리지 않음 모델에만 집중됨
비주얼,배경,눈 덮인 배경이 아름답고 겨울 분위기와 잘 어울림
비주얼,색감,전체적인 색감이 부드럽고 따뜻해 보임
비주얼,영상미,영상의 구성과 편집이 세련되고 아름다움
비주얼,배경,배경이 좋다 자연 배경이 마음에 든다 등의 표현
비주얼,전체적 분위기,분위기가 좋다 시원해 보인다 등의 표현
시각적 요소,배경,자연 풍경이나 도시 배경이 마음에 든다는 평가
시각적 요소,색감,밝고 경쾌한 색감이 좋다는 평가
시각적 요소,영상미,전반적인 영상의 퀄리티나 미적 요소에 대한 평가
시각적 요소,긍정적 평가,배경이 아름답고 제품과 잘 어울림 전체적인 분위기가 좋음
시각적 요소,부정적 평가,너무 어둡거나 밋밋함 특별한 점이 없음
신뢰성,긍정적 평가,신뢰가 간다 믿음이 간다 등의 표현
신뢰성,부정적 평가,신뢰가 가지 않는다 믿음이 가지 않는다 등의 표현
음악/사운드,긍정적 평가,경쾌하고 좋은 음악이라는 평가
음악/사운드,부정적 평가,음악이 어울리지 않거나 별로라는 평가
음악/사운드,어울림,배경 음악이 광고 분위기와 잘 어울림
음악/사운드,기억에 남음,음악이 인상적이고 기억에 남음
전문성,긍정적 평가,전문적으로 보인다 등의 표현
전문성,부정적 평가,전문성이 부족해 보인다 등의 표현
전반적 평가,긍정적,전체적으로 좋은 광고라는 평가
전반적 평가,부정적,전체적으로 아쉬운 점이 많다는 평가
전반적 평가,중립적,특별히 좋거나 나쁘지 않다는 평가
제품/브랜드,기능성 강조,제품의 기능이나 특징이 잘 드러난다는 평가
제품/브랜드,디자인,제품 디자인에 대한 긍정적 또는 부정적 평가
제품/브랜드,브랜드 이미지,브랜드에 대한 전반적인 이미지 평가
제품/브랜드,긍정적 평가,제품의 기능성이 잘 드러남 브랜드 이미지와 잘 맞음
제품/브랜드,부정적 평가,제품이 눈에 띄지 않음 브랜드와 어울리지 않음
창의성,긍정적,새롭고 참신한 광고라고 느낌
창의성,부정적,식상하고 진부한 느낌
추천 의도,긍정적,다른 사람에게 추천하고 싶다는 의견
추천 의도,부정적,다른 사람에게 추천하고 싶지 않다는 의견
타겟 적합성,긍정적,광고가 타겟층에 잘 맞는다는 평가
타겟 적합성,부정적,광고가 타겟층과 맞지 않는다는 평가
타겟 적합성,젊은층 타겟,젊은 층을 겨냥한 광고로 느껴짐
타겟 적합성,일반 소비자 타겟,다양한 연령층이 사용할 수 있는 제품으로 느껴짐
기타, , 
없음/모름,  , 
 
